feature,importance
channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,0.01231597331209648
consumption_decline,0.011819707633110525
engagement_risk,0.010737153017418106
cons_trend,0.00909597609545587
num_years_antig,0.006727750713502026
consumption_decline_pct,0.005980032308668228
price_p2_fix_mean,0.0047316619985372345
price_p3_fix_mean,0.0041090481593849685
cons_last_month,0.003302551259766659
has_gas_flag,0.0029921826569469447
margin_gross_pow_ele,0.001921897037262717
forecast_meter_rent_12m,0.001879233450449186
margin_net_pow_ele,0.0014576956594798316
forecast_cons,0.001364372905251522
antig_contract_ratio,0.0010105895819945432
tenure_normalized,3.310034154848927e-4
origin_up_lxidpiddsbxsbosboudacockeimpuepw,2.4247945795298376e-4
origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,1.771950029253073e-4
channel_sales_lmkebamcaaclubfxadlmueccxoimlema,1.586539121957834e-4
channel_sales_NA,8.061256784954779e-5
days_mod,1.8098727994774182e-6
tenure_days,0
contract_len,0
tenure_squared,0
activity_premium,0
price_p3_var_mean,0
num_products,0
pow_max,0
forecast_price_energy_p2,0
cons_pct,0
